aID_STAO,year,yr,land_use,elevation,ele,HS,AZ_pl,AZ_pl_Termo,AZ_pl_Meso,AZ_pl_Cryo,T_pl,AZ_mo,AZ_mo_Termo,AZ_mo_Meso,AZ_mo_Cryo,AZ_mo_sh,AZ_mo_lo,T_mo,T_mo_sh,T_mo_lo
684,2018,0.8,grassland,1246.300048828125,3.731500244140625,montane,43,3,17,0,3.23,7,3,1,0,12,3,3.75,4,3
519,2018,0.8,grassland,1247.5,3.7375,montane,28,1,13,3,3,17,0,14,0,9,33,3,3,3
689,2018,0.8,grassland,1360.800048828125,4.304000244140625,subalpine,52,1,21,8,2.85,21,0,13,2,11,28,2.8,2.75,2.8
754,2018,0.8,forest,1081.4000244140625,2.9070001220703126,montane,31,1,14,0,3.19,17,0,15,0,9,33,3,3,3
600,2018,0.8,forest,1683.5,5.9175,subalpine,24,0,6,7,2.52,26,0,16,7,23,39,2.7,2.5555555555555554,2.7857142857142856
1135,2018,0.8,grassland,2350.89990234375,9.25449951171875,alpine,21,0,1,15,1.65,12,0,0,7,3,5,1.14,1,1.25
1140,2018,0.8,forest,1912.5,7.0625,subalpine,23,1,9,2,2.76,4,1,0,0,4,0,4,4,NA
309,2018,0.8,forest,515.29998779296875,0.07649993896484375,colline,18,7,4,0,3.53,2,0,1,0,0,3,3,NA,3
629,2018,0.8,grassland,771,1.355,montane,46,7,15,0,3.41,10,3,2,0,12,6,3.6,4,3
568,2018,0.8,grassland,856.5999755859375,1.7829998779296874,montane,55,7,17,1,3.36,13,4,5,0,15,16,3.44,3.75,3.2
547,2018,0.8,forest,862.70001220703125,1.8135000610351562,montane,19,0,10,1,3.11,34,3,25,2,34,57,3.03,3.090909090909091,3
352,2018,0.8,grassland,857,1.785,montane,33,3,9,0,3.3,2,2,0,0,8,0,4,4,NA
440,2018,0.8,forest,631.20001220703125,0.6560000610351563,montane,16,3,9,0,3.31,20,3,11,0,6,39,3.21,3,3.25
261,2018,0.8,forest,1188.699951171875,3.443499755859375,montane,33,2,17,1,3.11,25,1,17,1,6,51,3,3,3
266,2018,0.8,grassland,910.4000244140625,2.0520001220703126,montane,28,3,9,0,3.26,3,0,2,0,0,6,3,NA,3
354,2018,0.8,grassland,849.70001220703125,1.7485000610351562,montane,27,4,8,0,3.33,8,0,6,0,0,18,3,NA,3
895,2018,0.8,forest,1352.5,4.2625,montane,26,6,7,2,3.27,5,0,5,0,0,15,3,NA,3
432,2018,0.8,forest,1553.199951171875,5.265999755859375,montane,19,2,5,3,2.82,14,0,5,2,0,15,2.57,NA,2.5
543,2018,0.8,forest,1497.800048828125,4.989000244140625,subalpine,13,0,3,6,2.38,16,0,8,3,6,23,2.64,3,2.5555555555555554
327,2018,0.8,grassland,1487,4.935,subalpine,39,3,14,1,3.12,1,0,0,0,0,0,NA,NA,NA
350,2018,0.8,forest,1774.300048828125,6.371500244140625,subalpine,47,1,7,17,2.45,37,2,16,7,21,44,2.72,2.625,2.75
1103,2018,0.8,forest,1617.9000244140625,5.589500122070312,subalpine,25,0,6,10,2.29,12,0,8,1,6,20,2.89,3,2.857142857142857
1085,2018,0.8,grassland,2298.39990234375,8.99199951171875,alpine,21,0,0,18,1.63,9,0,2,2,4,2,2.25,2,2
1099,2018,0.8,unused,2579.5,10.3975,alpine,22,0,0,19,1.26,17,0,0,11,7,5,1.09,1.1666666666666667,1
1080,2018,0.8,unused,2046.5,7.7325,alpine,39,1,6,15,2.36,25,1,13,3,14,30,2.76,2.8,2.727272727272727
746,2018,0.8,unused,2503.699951171875,10.018499755859375,alpine,11,0,1,8,1.44,10,0,1,5,3,6,1.5,1,2
1130,2018,0.8,unused,2717.39990234375,11.08699951171875,alpine,0,0,0,0,NA,4,0,0,2,2,0,1,1,NA
1169,2018,0.8,unused,2760,11.3,alpine,10,0,0,10,1.2,9,0,1,3,2,1,1.5,1,1
1160,2018,0.8,unused,2763.89990234375,11.31949951171875,alpine,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
954,2018,0.8,unused,2300.800048828125,9.004000244140625,alpine,32,0,0,25,1.52,16,0,6,5,10,11,2.18,2,2.2
397,2018,0.8,unused,2746.800048828125,11.234000244140624,alpine,17,0,0,11,1.14,11,0,0,6,2,5,1.17,1,1.25
460,2018,0.8,unused,2904.300048828125,12.021500244140626,alpine,2,0,0,2,1,2,0,0,1,0,1,1,NA,1
294,2018,0.8,grassland,2264.800048828125,8.824000244140626,alpine,29,0,0,28,1.39,29,0,3,12,15,11,1.73,1.6666666666666667,1.8333333333333333
1067,2018,0.8,unused,2589.60009765625,10.44800048828125,alpine,29,1,0,27,1.55,9,1,2,2,11,3,2.8,2.75,3
20,2018,0.8,forest,647.4000244140625,0.7370001220703125,montane,11,3,3,0,3.5,12,1,9,0,7,24,3.1,3.5,3
129,2018,0.8,forest,635.5999755859375,0.6779998779296875,montane,10,4,0,0,3.7,13,3,7,0,8,25,3.3,4,3.125
10,2018,0.8,grassland,706,1.03,montane,25,4,5,0,3.47,5,4,0,0,16,0,4,4,NA
5,2018,0.8,forest,615.9000244140625,0.5795001220703125,colline,39,12,7,1,3.59,17,4,9,0,7,33,3.31,3.5,3.3
192,2018,0.8,grassland,937.20001220703125,2.1860000610351564,montane,20,2,8,0,3.36,0,0,0,0,0,0,NA,NA,NA
